PMID,Sentence,Found Terms
38455620,"Some of coronavirus disease 2019 (COVID-19) patients died after being hospitalized and early mortality is a matter of concern during the pandemic; therefore, it is critical to determine which patients are the most vulnerable of having early mortality.","Disease, COVID-19"
38455620,Chronic lung disease was the most common comorbidity (46.0%) followed by respiratory disease (26.8%) and heart disease (14.3%).,"Disease, Chronic Disease"
38455619,Etiopathogenesis of adolescent idiopathic scoliosis (AIS): Role of genetic and environmental factors.,"Role, Scoliosis"
38455619,Higher prevalence of AIS among individuals with family history of scoliosis suggesting critical roles of genetic in the pathogenesis of AIS.,"Scoliosis, Family"
38455619,"However, evidence also suggested that environmental factors such as latitude and sun exposure also play a critical role in the pathogenesis of the disease.","Role, Disease"
38455619,"While genetic factors played an important role in the occurrence of AIS, environmental factors are more likely to affect the progression of the disease.","Role, Affect, Disease, Disease Progression"
38455617,The patient has no particular symptoms besides acute abdominal pain.,"Acute Pain, Abdominal Pain, Pain"
38455617,The ultrasonography examination indicated a uterus didelphys with breech presentation fetus.,"Breech Presentation, Ultrasonography"
38455617,This case report highlights that early diagnosis in this rare case is critical since bicornis unicollis uterus are mostly asymptomatic.,"Early Diagnosis, Diagnosis"
38455616,Complexity of diagnosis and management of a giant thyroid nodule: A case report and a concise literature.,"Diagnosis, Thyroid Nodule"
38455616,"However, it is not as straightforward to determine between the two; even a physical examination, thyroid function test, ultrasonography, and biopsy have been well performed.","Biopsy, Physical Examination, Ultrasonography"
38455616,"It can be more stressful if a patient has an increased risk of malignancy, such as age (below 20- and above 60-year-old), solid nodule, rapid growth, hoarseness, lymphadenopathy, and microcalcifications on the ultrasonography.","Lymphadenopathy, Hoarseness, Ultrasonography"
38455616,The aim of this case was to present the management of a giant thyroid nodule with malignancy presentation and a benign biopsy finding.,"Biopsy, Thyroid Nodule"
38455615,"Infants with Harlequin ichthyosis have a high mortality rate, and a dismal prognosis; therefore the majority of neonates die shortly after birth from infection, heat loss, dehydration, electrolytic imbalances, or respiratory distress.","Ichthyosis, Respiratory Rate, Prognosis, Dehydration"
38455615,The aim of this case report was to present a fatal case of Harlequin ichthyosis with no family history of any inherited skin disorder.,"Ichthyosis, Family"
38455615,"A 3-day-old baby was presented to the emergency room with congenital abnormalities at birth, fissured hyperkeratotic skin, and thick yellow plates of scales.","Congenital Abnormalities, Skin Abnormalities"
38455615,"The parents had no history of consanguineous marriage, no relevant past medical history, and no family history of the same condition.","Parents, Family, Marriage"
38455615,"The patient was unwell, pulse 162 times/minute, respiratory rate 48 times/minute, and axillary temperature 36.9oC.","Respiratory Rate, Pulse"
38455615,This case highlights that prenatal diagnosis is critical for early detection and disease prevention.,"Prenatal Diagnosis, Disease, Early Diagnosis, Diagnosis"
38455613,Treatment-seeking behavior for malaria among communities in Indonesia: A systematic review.,"Behavior, Malaria"
38455613,The aim of this systematic review was to provide a summary and overview of malaria treatment-seeking behavior among communities in several regions in Indonesia.,"Behavior, Malaria"
38455613,"The searches were conducted through four databases (Cochrane, PubMed, Google Scholar, and ScienceDirect) using medical subject headings (MeSH) ""treatment-seeking behavior"" OR ""health-seeking behavior"" AND ""malaria"" AND ""Indonesia"".","Behavior, Malaria"
38455613,There is still a range of malaria treatment-seeking behavior outside of recommended medical treatment in communities in several regions in Indonesia.,"Behavior, Malaria"
38455612,"The low treatment rate, low treatment success rate and high mortality rate of patients with pre-extensively drug-resistant tuberculosis (pre-XDR-TB) and extensively drug-resistant TB (XDR-TB) need serious attention.","Extensively Drug-Resistant Tuberculosis, Tuberculosis, Attention"
38455611,Factors associated with small airway obstruction in COVID-19 survivors: A cross-sectional study among health-care providers.,"COVID-19, Airway Obstruction"
38455611,"Coronavirus disease 2019 (COVID-19) has been identified for more than two years, yet studies assessing post-infection lung function are limited.","Disease, COVID-19"
38455611,Reports on lung function in COVID-19 patients indicate that patients have restrictive defects and small airway dysfunction that can persist and are not necessarily related to the severity of the disease.,"Disease, COVID-19"
38455611,The aim of this study was to assess the incidence of small airway obstruction and its incidence-associated factors among COVID-19 survivors to better describe the long-term effects of COVID-19.,"COVID-19, Airway Obstruction"
38455610,Feeding artery characteristics and enhancement patterns of hepatoblastoma patients treated with transarterial chemoembolization (TACE): Digital subtraction angiography evaluation.,"Angiography, Hepatoblastoma"
38455609,"Limited clinical intervention studies highlight the absence of evidence-based international guidelines for effectively managing post-tuberculosis lung disease, emphasizing bronchiectasis.","Disease, Bronchiectasis"
38455609,"Bronchoscopy, chest X-ray, and high-resolution computerized tomography (CT) scan revealed infected cystic bronchiectasis and identified a prominent left lung collapse with calcification in the left pleura.","Bronchiectasis, Tomography, Bronchoscopy, Tomography, X-Ray"
38455609,"Based on the literature review, post-surgical mortality rates of pneumonectomy are acceptable, with bronchopleural fistula, cardiac arrest, and thoracic hemorrhage being common causes.","Fistula, Hemorrhage"
38455609,"Complications can occur in approximately one-third of patients, including arrhythmia, pulmonary infection, fever, and wound infections.","Fever, Infections, Wound Infection"
38455608,Functional capacity and quality of life improvement in stable chronic obstructive pulmonary disease (COPD) patients following physical exercise and chicken egg white supplementation.,"Disease, Exercise, Chronic Disease"
38455608,The pillars of comprehensive pulmonary rehabilitation program for chronic obstructive pulmonary disease (COPD) patients include physical exercise and good nutrition.,"Disease, Exercise, Chronic Disease"
38455608,The COPD patients were enrolled prospectively in this quasi-experimental study and completed a 12-week smartphone-guided home-based physical exercise program that comprised strength and resistance training three times per week for 30 minutes each session.,"Exercise, Resistance Training"
38455608,"Patient characteristics including sex, age, nutritional status, comorbidities, smoking status, and obstruction severity, were evaluated.","Sex, Sex Characteristics, Smoking"
38455607,Psychotherapies for chronic kidney disease patients with hemodialysis: A systematic review of randomized control trials and quasi-experiments.,"Disease, Chronic Disease"
38455607,"Chronic kidney disease (CKD) patients, especially those with hemodialysis, frequently struggle with mental health issues like anxiety and depression.","Disease, Depression, Mental Health, Chronic Disease, Anxiety"
38455607,The aim of this study was to analyze the role of psychological treatments in improving the mental health of CKD patients with hemodialysis.,"Role, Mental Health"
38455607,"The psychotherapy included cognitive behavioral therapy (reported in four studies, n=4), diaphragmatic breathing relaxation (n=1), meditation (n=1), hypnotherapy (n=1), Kidney Optimal Health Program (KOHP) (n=1), psychological intervention (n=1), murottal Al-Qur'an therapy (n=3), and spiritual therapy (n=1).","Cognitive Behavioral Therapy, Psychotherapy, Meditation, Relaxation Therapy"
38455607,Meditation and KOHP showed no significant improvement in anxiety and depression.,"Depression, Anxiety, Meditation"
38455607,"The remaining psychotherapies significantly improved the quality of life by reducing anxiety and depression in hemodialysis patients and enhancing sleep quality, self-esteem, hopefulness, medication adherence, and physical condition.","Sleep Quality, Medication Adherence, Sleep, Depression, Anxiety"
38455606,Double fatal consequences of distance metastasis in nasopharyngeal carcinoma after a completed chemoradiation in pregnancy: A case report.,"Carcinoma, Nasopharyngeal Carcinoma, Pregnancy"
38455606,"Distant metastasis in nasopharyngeal carcinoma (NPC) patients is one of the reasons for the decreased life expectancy with the most common metastasis spreads are to the bone, liver, and lung.","Carcinoma, Nasopharyngeal Carcinoma"
38455606,A 34-year-old pregnant female at 24-25 weeks of gestation presented with a chief complaint of heartburn and unbearable pain radiating to the back.,"Back Pain, Heartburn, Pain"
38455606,"Laboratory examination revealed anemia, thrombocytopenia, negative hepatitis B surface antigen (HBsAg), and elevated liver markers.","Thrombocytopenia, Hepatitis B, Anemia, Hepatitis"
38455606,"A few days later, the fetal movements stopped and the ultrasonography indicated negative fetal heart rate.","Heart Rate, Heart Rate, Fetal, Ultrasonography"
38455605,Proprotein convertase subtilisin/kexin type 9 (PCSK9) as a marker of coronary lesion severity in stable coronary artery disease (CAD) patients.,"Disease, Coronary Disease, Coronary Artery Disease"
38455605,Coronary artery disease (CAD) remains a significant global health concern with considerable high morbidity and mortality and its development is influenced by various genetic and environmental factors.,"Disease, Coronary Disease, Coronary Artery Disease"
38455604,"Evaluating the impact of triple elimination program for mother-to-child transmission of HIV, syphilis, and hepatitis B in Indonesia.","Hepatitis B, Hepatitis, Syphilis"
38455604,"Indonesian government launched a triple elimination program to eliminate mother-to-child transmission (MTCT) of human immunodeficiency virus (HIV), syphilis, and hepatitis B in 2018, aiming to increase screening uptake among pregnant women during antenatal visits and to reduce the rates of these infections in children less than 50 per 100,000 live births.","HIV Infections, Hepatitis A, Hepatitis B, Infections, Hepatitis, Syphilis"
38455604,"Monthly data was obtained from the Health Office of Bandung for four years, including number of screenings done for HIV, syphilis, and hepatitis B, number of confirmed cases and number of pregnant women treated for those infections.","HIV Infections, Hepatitis B, Infections, Hepatitis, Syphilis"
38455604,Data on hepatitis B was not evaluated since it was not available.,"Hepatitis B, Hepatitis"
38455513,Molecular mechanisms underlying sarcopenia in heart failure.,"Heart Failure, Sarcopenia"
38455513,"The loss of skeletal muscle, also known as sarcopenia, is an aging-associated muscle disorder that is disproportionately present in heart failure (HF) patients.","Heart Failure, Sarcopenia"
38455513,"Multiple mechanistic pathways have emerged that may explain the increased prevalence of sarcopenia in the HF population, and a better understanding of these pathways may lead to the development of therapies to prevent muscle loss.","Muscle Development, Sarcopenia"
38455510,"Obesity is associated with chronic inflammation in adipose tissue (AT), mainly evidenced by infiltration and phenotypic changes of various types of immune cells.","Obesity, Inflammation"
38455510,"In obesity, CD8+ effector memory T cells, CD4+ Th1 cells, and B2 cells are increased in AT and promote AT inflammation, while regulatory T cells and Th2 cells, which usually function as immune regulatory or type 2 inflammatory cells, are reduced in AT.","Obesity, Inflammation, Memory"
38455510,"Immune cells may regulate the metabolism of adipocytes and other cells through various mechanisms, contributing to the development of metabolic diseases, including insulin resistance and type 2 diabetes.","Insulin Resistance, Metabolic Diseases"
38455510,"Efforts targeting immune cells and inflammation to prevent and treat obesity-linked metabolic disease have been explored, but have not yielded significant success in clinical studies.","Disease, Inflammation"
38455510,This review provides a concise overview of the changes in lymphocyte populations within AT and their potential role in AT inflammation and the regulation of metabolic functions in the context of obesity.,"Role, Obesity, Inflammation"
38455488,Identification of patients at high risk for recurrence in carcinoma of the ampulla of Vater: Analysis in 460 patients.,"Carcinoma, Recurrence"
38455488,"Carcinoma of the ampulla of Vater (CAV) shows a favorable prognosis compared to that with the other periampullary tumors, while some cases have a poor prognosis.","Carcinoma, Prognosis"
38455225,"Meanwhile, we conducted a subgroup analysis stratified by body mass index (BMI) and analyzed the mediating role of BMI.","Role, Body Mass Index"
38455223,"MGF possesses some antioxidant, anti-inflammatory, and cytoprotective properties, enabling it to play its role against various diseases such as diabetes, obesity, lung injuries, and cancer.","Role, Obesity, Lung Diseases"
38455223,"It mainly targets enzymes, interleukins, tumor growth factors, signaling pathways, apoptotic proteins, and genes to inhibit the growth of tumors, volume, angiogenesis, cellular functionality, further progression, and movement to other areas of the body.","Movement, Angiogenesis"
38455222,"Correction to ""The effect of nutrition and health behavior change communication through community-level actors on the nutritional status of pregnant women in the Ambo district, Ethiopia: A randomized controlled trial"".","Behavior, Health Behavior, Communication"
38455215,"Inulin-type fructans with different degrees of polymerization improve insulin resistance, metabolic parameters, and hormonal status in overweight and obese women with polycystic ovary syndrome: A randomized double-blind, placebo-controlled clinical trial.","Insulin Resistance, Overweight, Metabolic Syndrome, Polycystic Ovary Syndrome, Syndrome"
38455215,Polycystic ovary syndrome (PCOS) is associated with reproductive disorders and adverse cardiometabolic risk factors that can negatively impact the general health of women.,"Polycystic Ovary Syndrome, Syndrome"
38455215,"The aim of this study was to investigate the effects of ITFs with different degrees of polymerization on insulin resistance, blood lipids, anthropometric measures, and hormonal status in overweight and obese women with PCOS.","Insulin Resistance, Overweight"
38455215,"Participants in the HPI and OEI groups experienced improvements in waist circumference, total testosterone, free androgen index, sex hormone-binding globulin, and triglycerides compared to the placebo group.","Waist Circumference, Sex"
38455215,"Participants in the HPI group reported lower body mass, fasting insulin, and HOMA-IR, as well as a higher quantitative insulin sensitivity check index.","Body Mass Index, Fasting"
38455212,"We conducted a comprehensive search across multiple databases (PubMed, EMBASE, Cochrane Library, and ISI Web of Science) from inception until August 2022, with no limitations on language, to locate randomized controlled trials (RCTs) that investigated the impact of high-dose vitamin D supplementation (defined as a single dose of ≥100,000 IU or daily dose of ≥10,000 IU reaching a total dose of ≥100,000 IU) on COVID-19 patients.","Language, COVID-19"
38455203,Effects of Lamiaceae family plants and their bioactive ingredients on coronavirus-induced lung inflammation.,"Inflammation, Family"
38455203,We aimed to provide evidence about possible effects of two Lamiaceae family plants on control or treatment of CoVs-induced inflammation.,"Inflammation, Family"
38455201,Exploring possibilities for the development of healthy eating habits in preschool settings: parent's and teacher's perspectives.,"Habits, Eating"
38455201,"Adoption of eating habits starts early in life, through interaction with family members and alongside preschool settings that offer context for developing healthy lifestyles among children.","Habits, Eating, Family"
38455201,The aim of this study was to explore the perceptions and practices of teachers and parents related to the development of healthy eating habits among preschool children.,"Parents, Habits, Eating"
38455201,Teachers emphasized that good communication and support from parents are important factors for the development of healthy eating habits.,"Parents, Habits, Eating, Communication"
38455201,"During COVID-19, direct communication with parents was restricted, and mutual activities among teachers, children, and parents were reduced.","Parents, COVID-19, Communication"
38455201,"Lack of knowledge, finance, and time are perceived by parents as main obstacles to the improvement of children's healthy eating habits.","Parents, Habits, Eating"
38455201,"Mutual support, education, and dissemination of informative materials are imposed as particularly important needs by all actors involved in the upbringing of children in order to support the development of children's healthy eating habits.","Habits, Eating"
38455195,Studies suggest that mangiferin (MAF) has good therapeutic effects on chronic bronchitis and hepatitis.,"Bronchitis, Hepatitis"
38455168,"This study assessed the frequency of food intake according to the NOVA classification and how they relate to body mass index, waist circumference, and blood pressure.","Body Mass Index, Waist Circumference, Blood Pressure"
38455168,"The weight, height, waist circumference, waist-to-hip ratio, and blood pressure of all participants were measured.","Waist Circumference, Blood Pressure"
38455168,The prevalence of overweight and obesity was 23.8%.,"Overweight, Obesity"
38455157,"At the same time, modern techniques include high-pressure liquid chromatography (HPLC), gas chromatography (GC), electronic nose (E-Nose), polymerase chain reaction (PCR), enzyme-linked immunosorbent assay (ELISA), differential scanning calorimetry (DSC), nuclear magnetic resonance (NMR), near-infrared (NIR) spectroscopy, and Fourier transform infrared (FTIR) spectroscopy.","Reaction Time, Spectroscopy, Near-Infrared"
38455085,"As the largest global epidemic since 1918, the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) had devastating consequences.","Severe Acute Respiratory Syndrome, Syndrome"
38455085,"While the primary impact of Corona Virus Disease 2019 (COVID-19) has been on the respiratory system, a growing body of research has unveiled the significant involvement of the gastrointestinal tract as well.","Disease, COVID-19"
38455085,"In addition, the gut microbiome is also characterized by an abundance of opportunistic pathogens, which is related to disease manifestations of COVID-19 patients.","Disease, COVID-19"
38455085,"These insights could potentially transform the development of long-term interventions for COVID-19, offering hope for improved outcomes and enhanced patient recovery.","COVID-19, Hope"
38455083,"In the context of neurodegenerative disorders such as Alzheimer's disease (AD), inflammation plays a crucial role, often appearing as a common manifestation despite the variability in the occurrence of other pathophysiological hallmarks.","Role, Alzheimer Disease, Disease, Inflammation"
38455083,"In these milieus, this review attempts to summarize the contributing role of gut microbiome-mediated neuroinflammatory signals in AD pathophysiology, while also pondering potential mechanisms through which commensal and pathogenic gut microbes affect neuroinflammation.","Role, Affect"
38455032,Birth outcomes in mothers with hypertensive disorders and polycystic ovary syndrome: a population-based cohort study.,"Polycystic Ovary Syndrome, Mothers, Syndrome"
38455032,Is polycystic ovary syndrome (PCOS) associated with higher risks of extreme birth size and/or preterm birth in mothers with different hypertension types?,"Hypertension, Polycystic Ovary Syndrome, Mothers, Syndrome"
38451654,Experiences and strategies of people with sickle cell disease in the Federal District: the biographical rupture.,"Disease, Rupture"
38451654,"This is a study on sickle cell disease, a chronic illness that affects many Brazilians, that aims to understand and analyze how people address the adversities arising from the diagnosis and the biographical rupture.","Disease, Diagnosis, Rupture, Chronic Disease"
38451653,"Racism, health and pandemic: a narrative review of the relationship between black population and COVID-19 events in 2020.","Racism, COVID-19"
38451653,"Four groupings and respective findings emerged from the synthesis of information extracted: Main events in the Black population - high number of deaths and mortality rate; Direct relationships - poor health, housing, and work conditions; Intermediate relationships - low income and anti-Black prejudice; Comprehensive relationships - structural racism and social determinants of health.","Racism, Prejudice"
38451647,"Finally, we propose recommendations for dismantling systemic racism in collective oral health.","Systemic Racism, Racism"
38451642,"The production team's aim was to use images as political language in the health field, so as to document and give visibility to these issues as one illustration of combating social and health inequalities and inequities rooted in structural racism.","Racism, Language"
38451642,"By combining science and art and interlacing references from the sociology of images, visual anthropology, plus the work and aesthetic devices of Eduardo Coutinho, the audiovisual production method brought out three key categories: I, We, and They, quilombola women.","Sociology, Anthropology"
38450358,Psychological Distress and its Association With Job Satisfaction Among Hospital Pharmacists in Vietnam.,"Association, Job Satisfaction, Psychological Distress"
38450345,"Mucormycosis is an emerging disease that primarily affects immunocompromised patients; however, it has also been reported in immunocompetent individuals.","Mucormycosis, Disease"
38450345,"A 13-year-old boy was referred to a tertiary hospital with facial necrosis involving the nasal, oral, and left maxillary areas, as well as left periorbital edema.","Edema, Necrosis"
38450345,"The patient was managed by a multidisciplinary team consisting of the ear, nose, and throat, infectious diseases, dermatology, surgery, microbiology, and pathology departments.","Nose Diseases, Ear Diseases"
38450345,"This case highlights the importance of maintaining a high suspicion of invasive mucormycosis, even in immunocompetent children, when symptoms and signs are present, especially in resource-limited settings.","Mucormycosis, Signs and Symptoms"
38450344,Association between six-minute walk distance and prognosis of atherosclerotic coronary heart disease post-cardiac rehabilitation.,"Association, Disease, Coronary Disease, Prognosis"
38450344,"Plaque accumulation in the coronary arteries is a major cause of coronary heart disease (CHD), a disease infamously known as a contributor for global death burden.","Disease, Coronary Disease, Death"
38450344,"Studies have reported the role of the six-minute walk distance (6MWD) test in predicting outcomes for CHD patients; however, none have performed the investigation in Aceh setting.","Walk Test, Role"
38450344,"The association between 6MWD and prognosis, assessed by MACE incidence, was calculated.","Association, Prognosis"
38450343,Neurological manifestations of COVID-19 in Indonesia: Assessment of the role of sex and age.,"Role, Sex, COVID-19"
38450343,"Coronavirus disease 2019 (COVID-19), caused by the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2), can manifest in multiple organs.","Severe Acute Respiratory Syndrome, Disease, Acute Disease, COVID-19, Syndrome"
38450343,The aim of this study was to determine the neurological manifestations of COVID-19 patients and to assess the role of age and sex on neurological manifestation incidence.,"Role, Sex, COVID-19"
38450343,"The most frequently reported neurological symptom was headache (n=104, 44.8%), followed by anosmia (n=44, 18.9%), ageusia (n=48, 20.6%), myopathy (n=14, 6%), stroke (n=10, 4.3%), seizure (n=5, 2.1%), and altered consciousness (n=7, 3%).","Consciousness, Anosmia, Headache, Ageusia, Stroke"
38450343,"An association was found between sex and the incidence of headache, myopathy, stroke, and altered consciousness.","Association, Consciousness, Headache, Sex, Stroke"
38450343,There was also an association between age and the incidence of headache and stroke.,"Association, Headache, Stroke"
38450341,Parents' willingness to pay for COVID-19 vaccination for children in Malaysia using the contingent valuation method.,"Parents, COVID-19"
38450341,Children are susceptible and a potential source of transmission for coronavirus disease 2019 (COVID-19).,"Disease, COVID-19"
38450341,The aim of this study was to measure parents' willingness to pay (WTP) for the COVID-19 vaccine and analyze the effects of socioeconomic variables on parents' WTP.,"Parents, COVID-19"
38450341,Parents were randomized between two vaccine effectiveness profiles (95% and 50% effectiveness) and two risk levels of an adverse event (5% and 20% risk of fever).,"Parents, Fever"
38450341,Implementing subsidies or free vaccinations is considerable to increase herd immunity and prevent transmission of COVID-19 in Malaysia.,"Immunity, COVID-19"
38450340,"Lack of physical exercise and inadequate nutritional intake in chronic obstructive pulmonary disease (COPD) patients could lead to low muscle mass and function, which causes reduced respiratory function, increased incidence of exacerbations, exercise intolerance, increased visits to health facilities, and low health status.","Disease, Pulmonary Disease, Chronic Obstructive, Exercise, Chronic Disease"
38450340,The aim of the study was to determine the effect of chicken egg white supplementation on dyspnea degree and the incidence of exacerbations in stable COPD patients who perform physical exercise independently at home.,"Dyspnea, Exercise"
38450340,A quasi-experimental study was conducted in 38 stable COPD patients based on the Global Initiative for Chronic Lung Disease (GOLD) 2021 classification criteria.,"Disease, Chronic Disease"
38450340,Performed physical exercises included both strength and endurance training.,"Physical Endurance, Endurance Training"
38450340,A Fisher's exact test was used to assess the association between the intervention with dyspnea degree and exacerbation incidence.,"Association, Dyspnea"
38450339,Evaluation of atopic dermatitis severity using artificial intelligence.,"Dermatitis, Intelligence"
38450339,The aim of this study was to evaluate deep learning models for automated atopic dermatitis severity scoring using a dataset of Aceh ethnicity individuals in Indonesia.,"Learning, Dermatitis"
38450338,"Other complaints included nausea, rapid breathing, heartburn, and burning mouth and throat, and had weakness and dizziness.","Mouth Breathing, Nausea, Heartburn, Dizziness"
38450338,Tracheoesophageal fistula developed later in the patient as a long-term complication.,"Tracheoesophageal Fistula, Fistula"
38450338,Another a 22-year-old male patient was presented to the emergency room with chief complaints of nausea and vomiting an hour before admission.,"Vomiting, Nausea"
38450338,"An hour earlier, the patient attempted suicide by drinking two bottles of floor cleaning liquid due to economic problems.","Suicide, Suicide, Attempted, Drinking"
38450336,Quantity of antibiotic use and its association with clinical outcomes in COVID-19 patients: A snapshot from a provincial referral hospital in Indonesia.,"Association, COVID-19"
38450336,"The quantity of antibiotic use studies, in particular during coronavirus disease 2019 (COVID-19) pandemic, was not well reported.","Disease, COVID-19"
38450336,"The aim of this study was to evaluate antibiotic use in COVID-19 patients at a province referral hospital in Aceh, Indonesia, Dr Zainoel Abidin Hospital, and to assess the association between antibiotic use and COVID-19 clinical outcomes.","Association, COVID-19"
38450336,Our data suggested that there was no association between antibiotic use and clinical outcomes of COVID-19 patients (,"Association, COVID-19"
38450335,"Association between type of congenital heart disease with child growth and development status: A cross-sectional study in Medan, Indonesia.","Association, Disease, Child Development"
38450335,"Our data suggested a significant association between cyanotic CHD and poor growth status in children based on weight-for-age, weight-for-length, and body mass index (BMI)-for-age.","Association, Body Mass Index"
38450334,Factors influencing histoplasmosis incidence in multidrug-resistant pulmonary tuberculosis patients: A cross-sectional study in Indonesia.,"Histoplasmosis, Tuberculosis"
38450334,Histoplasmosis is an infectious disease caused by the dimorphic fungus,"Disease, Histoplasmosis"
38450333,"Comparison of vascular cell adhesion molecule 1 (VCAM-1) during pregnancy, after placental detachment and during puerperium between normal and pregnancy with COVID-19.","Pregnancy, COVID-19"
38450333,"Pregnant women have a number of physiological changes that lower the immune responses to avoid embryonic rejection, which increases the risk of problems after contracting coronavirus disease 2019 (COVID-19).","Disease, COVID-19"
38450332,"Carbon monoxide (CO), resulting from incomplete combustion such as tobacco smoking, serves as an indicator of nicotine addiction.","Smoking, Tobacco Smoking"
38450332,The nicotine dependence was measured using the Penn State Nicotine Dependence Index (PSNDI) questionnaire for the e-cigarette group and the Fagerstrom questionnaire for the tobacco smoking group.,"Smoking, Tobacco Smoking"
38450331,Characteristics and susceptibility pattern of catheter-associated urinary tract infections (CAUTI) bacteria in Indonesia: A study in a national reference hospital of Sumatra region 2020-2021.,"Infections, Urinary Tract Infections"
38450299,"Mucosal immunity triggered by infections in the respiratory tract, intestines, or other areas leads to antigen presentation, T cell stimulation, B cell maturation, and the production of IgA-producing plasma cells.","Antigen Presentation, Immunity, Immunity, Mucosal, Infections, Respiratory Tract Infections"
38450299,"The proteins B-lymphocyte stimulator (BLyS) and a proliferation-inducing ligand (APRIL) are involved in this process, and alternative complement and lectin pathway activation are also part of the pathogenic mechanism.","Complement Activation, Complement Pathway, Alternative"
38450299,"Recent research shows that biological agents can significantly reduce proteinuria, stabilize the estimated glomerular filtration rate, and reverse some pathological changes, such as endocapillary proliferation and crescent formation.","Proteinuria, Glomerular Filtration Rate"
38449497,Cone-beam computed tomography in endodontics: from the specific technical considerations of acquisition parameters and interpretation to advanced clinical applications.,"Tomography, Cone-Beam Computed Tomography"
38449497,"Cone-beam computed tomography (CBCT) enables 3-dimensional (3D) spatial anatomical navigation in the 3 volumetric planes (sagittal, coronal and axial) which translates into great accuracy for the identification of endodontic pathologies/conditions.","Spatial Navigation, Tomography, Cone-Beam Computed Tomography"
38448388,A case of hyperparathyroidism secondary to tumor-induced osteomalacia.,"Hyperparathyroidism, Osteomalacia"
38448388,Tumor-induced osteomalacia (TIO) is a rare paraneoplastic syndrome in which tumor-induced osteochondrosis is a metabolic bone disease caused by increased renal excretion of phosphorus due to excessive secretion of fibroblast growth factor 23 (FGF23) by tumor tissue.,"Disease, Metabolic Syndrome, Osteochondrosis, Osteomalacia, Syndrome"
38448387,Spondylodiscitis of lumbar complicated with spinal epidural abscess caused by,"Epidural Abscess, Abscess"
38448386,"This study aims to investigate the clinical features and imaging manifestations of intravascular large B-cell lymphoma, to improve the awareness of clinicians and imaging physicians and to reduce the underdiagnosis and misdiagnosis of this disease.","Disease, Lymphoma, Awareness, Lymphoma, B-Cell"
38448385,Hypertrophic obstructive cardiomyopathy (HOCM) is a hereditary cardiac disorder characterized primarily by septal hypertrophy and left ventricular outflow tract obstruction.,"Ventricular Outflow Obstruction, Hypertrophy"
38448385,"This can alleviate left ventricular outflow tract obstruction and myocardial ischemia, fulfilling the therapeutic objective.","Myocardial Ischemia, Ventricular Outflow Obstruction, Ventricular Outflow Obstruction, Left, Ischemia"
38448384,"Inflammatory factors play an important role in regulating inflammatory responses and immune reactions, and they also affect the development of tumors through various pathways in the tumor microenvironment.","Role, Affect"
38448384,"In addition, non-coding RNAs play an important role in the tumor microenvironment, regulating tumors and inflammation.","Role, Inflammation"
38448383,Dermatomyositis (DM) is an autoimmune disease often complicated with malignant tumors.,"Dermatomyositis, Disease"
38448383,"Revealing the role of DM specific autoantibodies in the development of malignant tumors in DM patients can provide important evidence for accurately assessing the risk of developing malignant tumors in DM patients, and also provide new ideas for clinical diagnosis of DM and precise treatment.","Role, Diagnosis"
38448382,"Therefore, in-depth understanding of the potential mechanism of pyroptosis affecting the progression of gastric cancer and the role of pyroptosis score in the treatment and prognosis assessment of gastric cancer will be helpful to find a new and effective method for the treatment of gastric cancer.","Role, Prognosis"
38448380,Relationship of depression and loneliness with quality of life in rural widowed elderly women living alone.,"Loneliness, Depression"
38448380,"Rural widowed elderly women living alone may face higher risks of depression and loneliness than general elderly people, which will have an impact on their quality of life.","Loneliness, Depression"
38448380,This study aims to explore the correlation of depression and loneliness with quality of life among rural widowed elderly women living alone.,"Loneliness, Depression"
38448379,"This study aims to evaluate the reliability and validity of the Chinese version of FSI-10, describe the current status of inhaler satisfaction and discuss the associated variables in Chinese patients with chronic airway disease.","Disease, Chronic Disease"
38448378,Development and evaluation of acceptance scale for artificial intelligence in digestive endoscopy by subjects.,"Intelligence, Endoscopy"
38448378,Digestive endoscopy is an important diagnostic and therapeutic tool for digestive system diseases.,"Digestive System Diseases, Endoscopy"
38448378,The artificial intelligence (AI)-assisted system in endoscopy (hereinafter referred to as AI in digestive endoscopy) has broad application prospects in the field of digestive endoscopy.,"Intelligence, Endoscopy"
38448378,"The trust and acceptance of endoscopic subjects are the cornerstone of the research, application, and promotion of AI in digestive endoscopy.","Trust, Endoscopy"
38448377,Clinical significance of flow cytometry in detection of minimal residual disease in cerebrospinal fluid.,"Flow Cytometry, Disease"
38448377,Central nervous system leukemia (CNSL) is one of the main causes of recurrence and death in patients with acute leukemia.,"Leukemia, Recurrence, Death"
38448377,"This study aims to dynamically monitor minimal residual disease (MRD) in cerebrospinal fluid and bone marrow of patients with different types of acute leukemia by flow cytometry (FCM), and to compare the timeliness and consistency of MRD detection between the 2 methods to further explore the application value of monitoring MRD in cerebrospinal fluid.","Flow Cytometry, Leukemia, Disease, Acute Disease"
38448376,"Uterine adhesion is mainly caused by endometrial injury, leading to poor postoperative pregnancy outcome.","Pregnancy, Pregnancy Outcome"
38448373,Association between HLA-B*27:04 and genetic susceptibility to ankylosing spondylitis in Hunan Province.,"Association, Spondylitis"
