Symptom,Related terms
Orthostatic Intolerance,"Yoga;Heart Diseases;Blood Pressure Monitoring, Ambulatory;Catheter Ablation;Chronic Pain;Blood Pressure;Hyponatremia;Lewy Body Disease;Pacemaker, Artificial;Anesthesia, Spinal;Frailty;Synucleinopathies;COVID-19;Simulation Training;Syncope, Vasovagal;Deep Brain Stimulation;Irritable Bowel Syndrome;Small Fiber Neuropathy;Autonomic Nervous System Diseases;Salts;Serotonin Syndrome;Cardiovascular System;Premature Ejaculation;Sympathetic Nervous System;Aromatic-L-Amino-Acid Decarboxylases;White Matter;Hypotension, Orthostatic;Autoimmunity;Post-Acute COVID-19 Syndrome;Parkinson Disease;Heart Arrest;Stroke;Ischemic Attack, Transient;Levodopa;Gastrointestinal Microbiome;Autonomic Nervous System;Biomarkers;Pleural Effusion;Blood Pressure Determination;Antiparkinson Agents;Cardiovascular Diseases;Fatigue Syndrome, Chronic;Orthostatic Intolerance;Ehlers-Danlos Syndrome;Patient Satisfaction;Midodrine;Severity of Illness Index;Problem Behavior;Arthroplasty, Replacement, Knee;Renal Insufficiency, Chronic;Autoimmune Diseases;Hypertension;Alzheimer Disease;Antipsychotic Agents;Acute Coronary Syndrome;Electrocardiography;Atrioventricular Block;Osteoarthritis, Knee;Syncope;Diabetes Mellitus, Type 2;Cognitive Dysfunction;Quality of Life;Hypotension;COVID-19 Vaccines;Brachial Artery;Multiple System Atrophy;Heart Rate;Blood Donation;Vestibular Evoked Myogenic Potentials;Anaphylaxis;Post-Exercise Hypotension;Pyrimidines;Dementia;Accidental Falls;Blood Donors;Fasting;SARS-CoV-2;Severe Dengue;Joint Instability;Strobilurins;Postural Orthostatic Tachycardia Syndrome;Disease Progression;Tilt-Table Test;Head and Neck Neoplasms"
Pain,"Range of Motion, Articular;Ointments;Electroacupuncture;Pelvic Pain;Robotic Surgical Procedures;Exercise;Rotator Cuff Injuries;Hip Fractures;Personal Protective Equipment;Antioxidants;Dental Anxiety;Marathon Running;Chronic Pain;Pneumonectomy;Muscle Spasticity;Self Efficacy;Klippel-Feil Syndrome;Opioid-Related Disorders;Anesthesia, Spinal;Empathy;Central Nervous System Sensitization;Ascorbic Acid;Dental Implants;Anesthesia, General;Parity;Calcium-Calmodulin-Dependent Protein Kinase Type 2;Diazepam;COVID-19;Ganglia, Spinal;Gastrectomy;Noise;Temporomandibular Joint Disorders;Analgesics, Opioid;Arthritis, Rheumatoid;Arthroscopy;Virtual Reality;Postpartum Period;Endoplasmic Reticulum Stress;Postoperative Complications;Chest Pain;Penile Diseases;Pain Measurement;Postural Balance;Pancreatitis;Acute Pain;Fallopian Tube Diseases;Oxytocin;Fibromyalgia;Wound Healing;Betamethasone;Vitamin E;Laparoscopy;Skin Ulcer;Hernia, Inguinal;Platelet-Rich Fibrin;Neuralgia, Postherpetic;Oxycodone;Oils, Volatile;Hemangioma;Proton Pump Inhibitors;Prostatic Neoplasms;Patient Education as Topic;Visceral Pain;Cattle Diseases;Societies, Medical;General Practice;Lumbar Vertebrae;Molar, Third;Anti-Inflammatory Agents;Black or African American;Remifentanil;Adaptation, Psychological;Gastrointestinal Microbiome;Biomarkers;Inflammation;Acupuncture Therapy;Nanoparticles;ST Elevation Myocardial Infarction;Neck Pain;Magnetic Resonance Imaging;Synovial Membrane;Health Personnel;Pyrazoles;Pharmacogenetics;Dysmenorrhea;Gastric Bypass;Rats, Wistar;Hemolytic-Uremic Syndrome;Tooth, Impacted;Sirtuin 1;Mandible;Dexmedetomidine;Exercise Therapy;Pain, Postoperative;Cell Differentiation;Smoking;Severity of Illness Index;Buprenorphine;Disease Models, Animal;Fear;Breast Implants;Movement Disorders;Gabapentin;Herniorrhaphy;Prostatitis;Gingiva;Airway Extubation;Lordosis;Paraventricular Hypothalamic Nucleus;Pain Threshold;Neuralgia;Low Back Pain;Intervertebral Disc Displacement;Arthroplasty, Replacement, Knee;Paraspinal Muscles;Pregabalin;Tooth Extraction;Cancer Pain;Autoimmune Diseases;Knee Joint;Self Report;Radiography;Latent Class Analysis;Drugs, Chinese Herbal;Dietary Supplements;Osteoarthritis, Knee;Abdominal Muscles;Saliva;Masseter Muscle;Brain Injuries, Traumatic;Neurosciences;Evidence-Based Medicine;Quality of Life;Randomized Controlled Trials as Topic;Pain Management;Headache;Herpes Zoster;Glucocorticoids;Supervised Machine Learning;Heart Rate;Pregnancy Complications;Edema;Water;Morphine;Surgical Mesh;Diabetic Neuropathies;Torsion Abnormality;Hand;Antiviral Agents;Analgesics;Escherichia coli Infections;Delayed-Action Preparations;Mice, Inbred C57BL;Gastrointestinal Diseases;Low-Level Light Therapy;Synovitis, Pigmented Villonodular;Manipulation, Spinal;Music Therapy;Parturition;Microglia;Palpation;Qualitative Research;Malignant Atrophic Papulosis;Nerve Block;Length of Stay;Prostatectomy;Neurons;CD8-Positive T-Lymphocytes;Inflammatory Bowel Diseases;Endometriosis;Athletic Tape;Cardiac Surgical Procedures;Hydrocortisone;Medicine, Chinese Traditional;Spondylitis;Molecular Docking Simulation;SARS-CoV-2;Thymectomy;Behavior, Animal;Facial Pain;Collagen;Fatty Alcohols;Learning Curve;Diskectomy, Percutaneous;Zingiber officinale;Curcuma;Gyrus Cinguli;Central Nervous System Cysts;Ultrasonography, Interventional;Labor Pain;Catechols;Mice, Knockout;Myocarditis;Hernia, Ventral;Disease Progression;Breast Neoplasms;Thoracoscopy;Forearm;Lidocaine;Rats, Sprague-Dawley"
Abdominal Pain,"Stomach Neoplasms;Lithotripsy;Warfarin;Pelvic Pain;Cesarean Section;Embolization, Therapeutic;Pregnancy, Tubal;Non-alcoholic Fatty Liver Disease;Intestinal Diseases;Celiac Disease;Focal Nodular Hyperplasia;Anxiety;Marathon Running;Aneurysm;Chronic Pain;46, XX Disorders of Sex Development;Tomography, X-Ray Computed;Splenic Rupture;Abdomen;Feces;Ultrasonography;Postprandial Period;Congenital Abnormalities;Recurrence;Botulinum Toxins, Type A;Kidney;Intestinal Volvulus;Practice Patterns, Physicians';Aneurysm, False;Cystadenoma, Mucinous;COVID-19;Echinococcosis, Hepatic;Anorexia Nervosa;Irritable Bowel Syndrome;Pregnancy, Ectopic;Castleman Disease;Colitis, Ischemic;Analgesics, Opioid;Energy Drinks;Medically Unexplained Symptoms;Thrombophilia;Postpartum Period;Lactose Intolerance;Venous Thrombosis;Intestinal Neoplasms;Adenocarcinoma;Uterus;Pancreatitis;Endosonography;Fallopian Tube Diseases;Lupus Erythematosus, Systemic;Colorectal Neoplasms;Diarrhea;Meals;Choledocholithiasis;Lactic Acid;Laparoscopy;Polyarteritis Nodosa;Hernia, Inguinal;Laparotomy;Colonic Neoplasms;Shock, Septic;Amenorrhea;Proton Pump Inhibitors;Appendix;Anticoagulants;Pancreatic Neoplasms;Cysts;Jejunal Diseases;Pancreatitis, Chronic;Imatinib Mesylate;Scleroderma, Systemic;Vascular System Injuries;Constipation;Adnexal Diseases;Splenectomy;Gastric Bypass;Vomiting;Hemolytic-Uremic Syndrome;Nerve Compression Syndromes;Colonoscopy;Exercise Therapy;Wandering Spleen;Botulinum Toxins;Cannabinoids;Esophageal Neoplasms;Ovarian Cysts;Pregnancy Tests;Polyurethanes;Abdominal Pain;Intussusception;Ovary;Neuralgia;Deglutition Disorders;Pregnancy, Abdominal;Depression;Splenic Artery;Renal Insufficiency, Chronic;Amnion;Hernia, Diaphragmatic;Carcinoma, Small Cell;Emergency Service, Hospital;Abdominal Cavity;Gastrointestinal Stromal Tumors;Obesity, Morbid;Burkitt Lymphoma;Transcutaneous Electric Nerve Stimulation;Fungi;Appendicitis;Electrocardiography;Stomach Rupture;Broad Ligament;Contrast Media;Thrombophlebitis;Liver Diseases;Vasculitis;Delayed Diagnosis;Peritoneal Neoplasms;Bezoars;Pneumatosis Cystoides Intestinalis;Colitis;Pain Management;Headache;Intestinal Obstruction;Diet;Pregnancy Complications;Enteritis;Pregnancy Complications, Neoplastic;Sleep Wake Disorders;Torsion Abnormality;Pneumoperitoneum;Trichomonas;Escherichia coli Infections;Gastroplasty;Gastrointestinal Diseases;Dyspepsia;Natriuretic Peptides;Critical Care;Intestinal Perforation;Crohn Disease;Portal Vein;Stress Disorders, Post-Traumatic;Sarcoma, Synovial;Mullerian Ducts;Hernia, Umbilical;Nerve Block;Length of Stay;Abdomen, Acute;Liver Transplantation;Endometriosis;Lipoma;Vagina;Medicine, Chinese Traditional;Multiplex Polymerase Chain Reaction;Mesenteric Ischemia;SARS-CoV-2;Colitis, Ulcerative;Diverticulitis;Gastroesophageal Reflux;Panniculitis, Peritoneal;Prader-Willi Syndrome;Pregnant Women;Omentum;Probiotics;Peritoneal Diseases;Mesentery"
"Abdomen, Acute","Rheumatic Diseases;Peptic Ulcer Perforation;Pregnancy, Tubal;Embolization, Therapeutic;Liver Failure;Emergency Medicine;Intestinal Diseases;Duodenal Ulcer;Splenic Rupture;Tomography, X-Ray Computed;Retroperitoneal Neoplasms;Ultrasonography;Gallstones;Adrenal Insufficiency;Intestinal Volvulus;Tuberculosis, Gastrointestinal;Cytomegalovirus Infections;Cystadenoma, Mucinous;Echinococcosis, Hepatic;COVID-19;Varicose Veins;Adrenal Gland Diseases;Pregnancy, Ectopic;Heart Transplantation;Systemic Inflammatory Response Syndrome;Colitis, Ischemic;Hypernatremia;Echinococcus;Hyperglycemia;Hydronephrosis;Adenocarcinoma;Neoplasms;Cholecystitis, Acute;Hemoglobinuria, Paroxysmal;Uterine Rupture;Acute Kidney Injury;Pancreatitis;Ampulla of Vater;Fallopian Tube Diseases;Meckel Diverticulum;Laparoscopy;Hernia, Inguinal;Laparotomy;Colonic Neoplasms;Appendix;Pregnancy, Interstitial;Cysts;Helicobacter pylori;Stroke;Malnutrition;Imatinib Mesylate;Acalculous Cholecystitis;Splenic Diseases;Gastroenteritis;Digestive System Abnormalities;Adenomyosis;Adnexal Diseases;Uterine Neoplasms;Abortion, Spontaneous;Surgeons;Uterine Myomectomy;Pregnancy, Ovarian;Paraganglioma;Duodenal Obstruction;Ovarian Cysts;Herniorrhaphy;Ovarian Neoplasms;Abdominal Pain;Intussusception;Aneurysm, Ruptured;Helicobacter Infections;Malabsorption Syndromes;Abdominal Cavity;Gastrointestinal Stromal Tumors;Emergency Medical Services;Appendicitis;Broad Ligament;Urinary Calculi;Liver;Peritonitis;Cholecystectomy, Laparoscopic;Surgical Oncology;Quality Indicators, Health Care;Leiomyoma;Intestinal Obstruction;Pneumonia, Mycoplasma;Carcinoma, Signet Ring Cell;Venous Insufficiency;Pregnancy Complications;Urachal Cyst;Sexually Transmitted Diseases;Granulosa Cell Tumor;Peptic Ulcer;Gastrointestinal Diseases;Ileitis;Intestinal Perforation;Crohn Disease;Abdomen, Acute;Connective Tissue Diseases;Cholelithiasis;Endometriosis;Enterocolitis;Mesenteric Ischemia;Myoma;Vascular Diseases;Diverticulitis;Anemia;Lymphangioma;Panniculitis, Peritoneal;Thrombosis;Cholecystitis;Echinococcosis;Bariatric Surgery;Peritoneal Diseases;Mesentery"
Acute Pain,"Physical Therapy Modalities;Pelvic Pain;Sex Characteristics;Analgesia;Hip Fractures;Chronic Pain;Orchiectomy;Spiro Compounds;Ketoprofen;Opioid-Related Disorders;Acetaminophen;Anemia, Sickle Cell;COVID-19;Wilderness Medicine;Fentanyl;Diclofenac;Naloxone;Analgesics, Opioid;Autonomic Nervous System Diseases;Nociceptive Pain;Virtual Reality;Anti-Inflammatory Agents, Non-Steroidal;Neoplasms;Tramadol;Pain Measurement;Pancreatitis;Acute Pain;Proteomics;Colorectal Neoplasms;Thiophenes;Skin;Memory Consolidation;Adrenergic Neurons;Stellate Ganglion;Administration, Cutaneous;Transcranial Magnetic Stimulation;Laparoscopy;Neuralgia, Postherpetic;Etodolac;Ketamine;Cupping Therapy;Salivary alpha-Amylases;Skin Absorption;Societies, Medical;Acupuncture, Ear;Internet-Based Intervention;Ibuprofen;Inflammation;Pharmacogenetics;Vomiting;Hemoglobinopathies;Dexmedetomidine;Pain, Postoperative;Deep Learning;Buprenorphine;Wrist Fractures;Tromethamine;Nausea;Musculoskeletal Manipulations;Tibial Fractures;Borderline Personality Disorder;Neuralgia;Low Back Pain;Arthroplasty, Replacement, Knee;Administration, Topical;Musculoskeletal Pain;Emergency Service, Hospital;Transcutaneous Electric Nerve Stimulation;Arthralgia;Anesthesia, Conduction;Migraine Disorders;Rhinoplasty;Connectome;Awards and Prizes;Urolithiasis;Kidney Neoplasms;Lung Transplantation;Randomized Controlled Trials as Topic;Pain Management;Herpes Zoster;Pyelonephritis;Decision Making;Sleep Wake Disorders;Hydromorphone;Surgical Wound;Diabetic Neuropathies;Analgesics;Analgesia, Epidural;Radiofrequency Ablation;Nurse Anesthetists;Manipulation, Spinal;Anesthesia;Anterior Cruciate Ligament Reconstruction;Qualitative Research;Nerve Block;Cardiac Surgical Procedures;Chiropractic;Piroxicam;Vascular Diseases;Decision Support Systems, Clinical;Gyrus Cinguli;Arthroplasty, Replacement, Hip;Buprenorphine, Naloxone Drug Combination;Breast Neoplasms;Electroencephalography;Rats, Sprague-Dawley;Proto-Oncogene Proteins c-fos"
Arthralgia,"Physical Therapy Modalities;Shoulder Pain;Range of Motion, Articular;Mycophenolic Acid;Age of Onset;Robotic Surgical Procedures;Embolization, Therapeutic;Kidney Failure, Chronic;Rotator Cuff Injuries;Arthroplasty, Replacement, Shoulder;Hip Fractures;Osteopontin;Chronic Pain;Myofascial Pain Syndromes;Robotics;Spinal Fractures;Triangular Fibrocartilage;Ultrasonography;Central Nervous System Sensitization;Tibial Meniscus Injuries;Arthritis, Gouty;Anesthesia, Spinal;COVID-19;Synovitis;Wrist Injuries;Temporomandibular Joint Disorders;Arthritis, Rheumatoid;Analgesics, Opioid;Back Pain;Carpal Tunnel Syndrome;Neoplasms;Pain Measurement;Arthritis;Sjogren's Syndrome;Agriculture;Rotator Cuff;Contracture;Activities of Daily Living;Laparoscopy;Hemangioma;Shoulder Injuries;Colonic Pouches;Lyme Disease;Stroke;Societies, Medical;Histiocytic Necrotizing Lymphadenitis;Anesthesia, Epidural;Mycobacterium avium-intracellulare Infection;Transcranial Direct Current Stimulation;Femur;Acupuncture Therapy;Joint Dislocations;Neck Pain;Magnetic Resonance Imaging;Synovial Membrane;Cardiovascular Diseases;Tibia;Acromion;Fatigue;Osteomyelitis;Periarthritis;Tenosynovitis;Surgeons;Arm;Antirheumatic Agents;Bursitis;Lymphoma;Proctocolectomy, Restorative;Shoulder;Exercise Therapy;Deep Learning;Patient Satisfaction;Pain, Postoperative;Physicians, Primary Care;Academic Performance;Severity of Illness Index;Operative Time;Breast Implants;Motor Cortex;Fever;Herniorrhaphy;Physical Therapists;Musculoskeletal Manipulations;Shoulder Joint;Low Back Pain;Arthroplasty, Replacement, Knee;Isometric Contraction;Osteotomy;Knee Joint;Musculoskeletal Pain;Occupational Exposure;Self Report;Radiography;Glass;Foreign Bodies;Arthralgia;Feasibility Studies;Fractures, Stress;Shoulder Impingement Syndrome;Osteoarthritis, Knee;Pouchitis;Vasculitis;Dyskinesias;Evidence-Based Medicine;Osteoarthritis;Quality of Life;Arthritis, Psoriatic;Stroke Rehabilitation;Patient Reported Outcome Measures;Platelet-Rich Plasma;Lower Extremity;Fractures, Compression;Pregnancy Complications;Lung Neoplasms;Antibodies, Monoclonal, Humanized;Synovitis, Pigmented Villonodular;Femoral Neck Fractures;Disability Evaluation;Qualitative Research;Adalimumab;Inflammatory Bowel Diseases;Metabolic Syndrome;Calcinosis;Psoriasis;Colitis, Ulcerative;Elbow;Tendinopathy;Acromioclavicular Joint;Renal Dialysis;Thrombosis;Pain;Arthritis, Juvenile;Headache Disorders;Chikungunya Fever;Arthroplasty, Replacement, Hip;Occupational Diseases;Upper Extremity;Joint Instability;Phenotype;Refractive Errors;Chikungunya virus;Extracorporeal Shockwave Therapy"
Shoulder Pain,"Physical Therapy Modalities;Shoulder Pain;Range of Motion, Articular;Superficial Back Muscles;Robotic Surgical Procedures;Kidney Failure, Chronic;Moxibustion;Rotator Cuff Injuries;Arthroplasty, Replacement, Shoulder;Honey;Chronic Pain;Myofascial Pain Syndromes;Robotics;Ultrasonography;Central Nervous System Sensitization;Anesthesia, Spinal;Work Performance;Analgesics, Opioid;Bone Neoplasms;Pain Measurement;Brachial Plexus Block;Arthritis;Agriculture;Rotator Cuff;Transcranial Magnetic Stimulation;Laparoscopy;Shoulder Injuries;Colonic Pouches;Stroke;Anesthesia, Epidural;Spinal Cord Injuries;Acupuncture Therapy;Neck Pain;Magnetic Resonance Imaging;Acromion;Periarthritis;Lacerations;Bursitis;Conservative Treatment;Proctocolectomy, Restorative;Shoulder;Exercise Therapy;Deep Learning;Pain, Postoperative;Academic Performance;Operative Time;Musculoskeletal Diseases;Heart Valve Prosthesis Implantation;Herniorrhaphy;Fractures, Bone;Physical Therapists;Musculoskeletal Manipulations;Shoulder Joint;Low Back Pain;Isometric Contraction;Humeral Fractures;Musculoskeletal Pain;Occupational Exposure;Radiography;Feasibility Studies;Anesthetics;Hyperbaric Oxygenation;Shoulder Impingement Syndrome;Clavicle;Pouchitis;Radiation Injuries;Cholecystectomy, Laparoscopic;Registries;Dyskinesias;Quality of Life;Osteoarthritis;Stroke Rehabilitation;Primary Health Care;Patient Reported Outcome Measures;Tricuspid Valve Insufficiency;Lung Neoplasms;Synovitis, Pigmented Villonodular;Pulsed Radiofrequency Treatment;Disability Evaluation;Posture;Qualitative Research;Adalimumab;Nerve Block;Endometriosis;Minimal Clinically Important Difference;Mental Health;Colitis, Ulcerative;Shoulder Fractures;Tendinopathy;Spondylosis;Acromioclavicular Joint;Renal Dialysis;Muscle, Skeletal;Wheelchairs;Spinal Fusion;Aerospace Medicine;Occupational Diseases;Upper Extremity;Joint Instability;Refractive Errors;Breast Neoplasms;Pilots;Giant Cell Tumor of Bone;Extracorporeal Shockwave Therapy"
Back Pain,"Familial Mediterranean Fever;Physical Therapy Modalities;Range of Motion, Articular;Shoulder Pain;Moving and Lifting Patients;Pelvic Pain;Exercise;Chronic Pain;Myofascial Pain Syndromes;Hydrotherapy;Self Efficacy;Ultrasonography;Empathy;Frailty;Absorptiometry, Photon;COVID-19;Bone Density Conservation Agents;Analgesics, Opioid;Back Pain;Menarche;Anti-Inflammatory Agents, Non-Steroidal;Coccyx;Tramadol;Pain Measurement;Postural Balance;Observational Studies as Topic;Bone Cysts, Aneurysmal;Arthritis;Cerebral Cortex;Lifting;Hip Joint;Machine Learning;Zygapophyseal Joint;Patient Education as Topic;Thoracic Vertebrae;Lumbar Vertebrae;Proprioception;Biomarkers;Pelvic Floor Disorders;Neck Pain;Magnetic Resonance Imaging;Spinal Stenosis;Drug Hypersensitivity;Electromyography;Goals;Delphi Technique;Physician-Patient Relations;Systematic Reviews as Topic;Exercise Therapy;Health Surveys;Tapentadol;Social Determinants of Health;Manipulation, Chiropractic;Social Media;Physical Therapists;Lordosis;Cross-Over Studies;Musculoskeletal Manipulations;Sacroiliitis;Pain Threshold;Low Back Pain;Intervertebral Disc Displacement;Depression;Paraspinal Muscles;Intervertebral Disc Degeneration;Hamstring Muscles;Mothers;Pelvic Floor;Body Composition;Latent Class Analysis;Neutrophils;Practice Guidelines as Topic;Spinal Nerve Roots;Feasibility Studies;Computer Simulation;Network Meta-Analysis;Algorithms;Mendelian Randomization Analysis;Elastic Modulus;Catastrophization;Abdominal Muscles;Motivational Interviewing;Muscle Strength;Neurosciences;Quality of Life;Randomized Controlled Trials as Topic;Primary Health Care;Patient Reported Outcome Measures;Pregnancy Complications;Water;Psoas Muscles;Weight-Bearing;Steroids;Orthopedics;Stiff-Person Syndrome;Cerebral Palsy;Quality Improvement;Radiofrequency Ablation;Ergonomics;Disability Evaluation;Manipulation, Spinal;Accidental Falls;Palpation;Radiculopathy;Qualitative Research;Nerve Block;Denervation;Gymnastics;Spondylitis;Sitting Position;Soccer;Diskectomy, Percutaneous;Aminoquinolines;Arthroplasty, Replacement, Hip;Occupational Diseases;Genome-Wide Association Study;Bayes Theorem;Athletes;Exercise Movement Techniques;Decompression, Surgical;Scapula"
Failed Back Surgery Syndrome,"Meningioma;Motor Cortex;Depressive Disorder, Major;Electroacupuncture;Spinal Cord Stimulation;Parathyroid Neoplasms;Analgesia, Epidural;Hematoma, Subdural, Intracranial;Neuralgia;Pulsed Radiofrequency Treatment;Low Back Pain;Intervertebral Disc Displacement;Failed Back Surgery Syndrome;Chronic Pain;Zygapophyseal Joint;Electric Stimulation Therapy;Hematoma, Subdural, Spinal;Mental Disorders;Anesthesia;Human-Animal Bond;Cancer Pain;Intervertebral Disc Degeneration;Epidural Space;Complex Regional Pain Syndromes;Spinal Cord Compression;Opioid-Related Disorders;Radiculopathy;Bone Diseases;Pain, Intractable;Lumbar Vertebrae;Transcutaneous Electric Nerve Stimulation;Electrodes, Implanted;Cognitive Behavioral Therapy;Spinal Diseases;Pancreatitis, Chronic;Adaptation, Psychological;COVID-19;Latent Infection;Acupuncture Therapy;Meningeal Neoplasms;Spinal Stenosis;Quality of Life;Back Pain;Surgeons;Pets;Neoplasms;Hypnosis;Fibrosis"
Low Back Pain,"Randomized Controlled Trials as Topic;Quality of Life;Exercise;Body Composition;Abdominal Muscles;Hamstring Muscles;Meditation;Ozone;Postural Balance;Latent Class Analysis;Shoulder Pain;Feasibility Studies;Social Media;Mindfulness;Depression;Spinal Nerve Roots;Elastic Modulus;Occupational Diseases;Hip Joint;Neutrophils;Pelvic Floor Disorders;Drug Hypersensitivity;Primary Health Care;Patient Reported Outcome Measures;Lifting;Familial Mediterranean Fever;Diskectomy, Percutaneous;Qualitative Research;Lumbar Vertebrae;Neurosciences;Cerebral Palsy;COVID-19;Nerve Block;Exercise Therapy;Spinal Fusion;Aminoquinolines;Musculoskeletal Manipulations;Social Determinants of Health;Mothers;European People;Radiculopathy;Physician-Patient Relations;Bayes Theorem;Menarche;Motivational Interviewing;Physical Therapists;Low Back Pain;Pain Measurement;Moving and Lifting Patients;Chronic Pain;Biomarkers;Range of Motion, Articular;Cerebral Cortex;Mendelian Randomization Analysis;Spinal Stenosis;Patient Education as Topic;Disability Evaluation;Palpation;Observational Studies as Topic;Tapentadol;Network Meta-Analysis;Video Recording;Analgesics, Opioid;Steroids;Coccyx;Manipulation, Chiropractic;Zygapophyseal Joint;Exercise Movement Techniques;Tramadol;Pain Threshold;Spondylitis;Orthopedics;Intervertebral Disc Displacement;Algorithms;Muscle Strength;Anti-Inflammatory Agents, Non-Steroidal;Bone Density Conservation Agents;Cognitive Behavioral Therapy;Health Surveys;Goals;Pregnancy Complications;Arthroplasty, Replacement, Hip;Weight-Bearing;Soccer;Athletes;Manipulation, Spinal;Pelvic Floor;Frailty;Ergonomics;Hydrotherapy;Cross-Over Studies;Magnetic Resonance Imaging;Pelvic Pain;Denervation;Tomography, X-Ray Computed;Self Efficacy;Empathy;Lordosis;Catastrophization;Genome-Wide Association Study;Computer Simulation;Back Pain;Proprioception;Arthritis;Intervertebral Disc Degeneration;Electromyography;Sacroiliitis;Scapula;Delphi Technique;Sitting Position;Telemedicine;Paraspinal Muscles;Neck Pain;Machine Learning;Ultrasonography;Psoas Muscles;Radiofrequency Ablation;Practice Guidelines as Topic;Quality Improvement;Physical Therapy Modalities;Systematic Reviews as Topic;Myofascial Pain Syndromes;Absorptiometry, Photon"
Breakthrough Pain,"Dementia;Morphine;Drug Costs;Anesthesia, Local;Analgesia, Epidural;Analgesics, Non-Narcotic;Quality of Life;General Practitioners;Health Knowledge, Attitudes, Practice;Acupuncture Therapy;Cancer Pain;Multiple Myeloma;Patient Satisfaction;Anesthetics, Local;Practice Patterns, Physicians';Labor, Obstetric;Nerve Block;Genital Neoplasms, Female;Drug Utilization;Arthroplasty, Replacement, Knee;Fentanyl;Analgesics, Opioid;Receptors, Metabotropic Glutamate;Neoplasms;Buprenorphine;Opioid-Related Disorders;Analgesia;Cardiac Surgical Procedures;Psychometrics;Analgesia, Obstetrical;Labor Pain;Drug-Related Side Effects and Adverse Reactions;Heroin;Oncologists;Practice Guidelines as Topic;Neuralgia;Chronic Pain;Head and Neck Neoplasms;Bone Neoplasms;Breakthrough Pain;Herpes Zoster"
Cancer Pain,"Randomized Controlled Trials as Topic;Antineoplastic Agents;Quality of Life;Exercise;Curcumin;TOR Serine-Threonine Kinases;Hypothalamus;Prostatic Neoplasms;Electroacupuncture;Uterine Cervical Neoplasms;Naltrexone;Bufanolides;Neoplasms;Medical Marijuana;Celiac Plexus;Opioid-Related Disorders;Gastrointestinal Neoplasms;Bone Neoplasms;Radiosurgery;Antiemetics;Sarcoma;Cannabidiol;Analgesia, Epidural;Delayed-Action Preparations;Transcutaneous Electric Nerve Stimulation;Signal Transduction;Carcinoma, Non-Small-Cell Lung;Cancer Pain;Urology;AMP-Activated Protein Kinases;Qualitative Research;Ketamine;COVID-19;Breast Neoplasms;Cannabis;Cytochrome P-450 CYP3A;Polymers;Pain, Intractable;Zoledronic Acid;Neoplasms, Second Primary;Palliative Care;Spiritual Therapies;Substance-Related Disorders;Low Back Pain;Pain Measurement;Neuralgia;Chronic Pain;Netrin-1;Head and Neck Neoplasms;Indoles;Lung Neoplasms;Cachexia;Morphine;Patient Education as Topic;Rectal Neoplasms;Health Knowledge, Attitudes, Practice;Acupuncture Therapy;Osteolysis;MicroRNAs;Ghrelin;Transcranial Direct Current Stimulation;Pain Management;Analgesics, Opioid;Tramadol;Cannabinoids;Injections, Spinal;Abdominal Neoplasms;Hallucinogens;Bone Density Conservation Agents;Drug Tolerance;Meningeal Neoplasms;Cognitive Behavioral Therapy;Disease Models, Animal;Pancreatic Neoplasms;Central Venous Catheters;Phenotype;Breakthrough Pain;Music Therapy;Microwaves;Polymorphism, Genetic;Patient Satisfaction;Health Personnel;Vertebroplasty;Musculoskeletal Pain;Autonomic Nerve Block;Stomach Neoplasms;Neuropeptide Y;Pharmacogenetics;Cancer Survivors;Virtual Reality;Mobile Applications;Telemedicine;Pain;Neuropeptides;Drugs, Chinese Herbal;Spinal Neoplasms;Administration, Intravenous;Clonidine;Practice Guidelines as Topic;Analgesia;Meningioma"
