Symptom,Disease
body ache,arthritis;tracheal stenosis;osteomyelitis;fibromyalgia;appendicitis;complex regional pain syndrome;urethritis;pneumatosis cystoides intestinalis;retinal disease;renal artery disease;calcinosis;osteoarthritis;intestinal disease;COVID-19;cerebrovascular disease;prostatitis;periostitis;hepatic vascular disease;hair disease;prostatocystitis;musculoskeletal system disease;coronary artery disease;cardiovascular system disease;Caroli syndrome;spinal disease;vascular disease;cryptococcosis;periarthritis;tendinitis;Fabry disease;artery disease;pulmonary artery disease;stomatitis;musculoskeletal system cancer;myelitis
bradycardia,hyperglycemia;brain disease;schizophrenia 8;hyperekplexia;prion disease;schizophrenia 4;eclampsia;status epilepticus;bronchopulmonary dysplasia;schizophrenia 16;carotid stenosis;venous insufficiency;renal hypertension;schizophrenia 18;hypoglycemia;schizophrenia 7;hypercalcemia;COVID-19;heart conduction disease;schizophrenia 2;cognitive disorder;asphyxia neonatorum;schizophrenia 1;hyperlysinemia;schizophrenia 11;schizophrenia 12;schizophrenia 6;schizophrenia 13;anal gland neoplasm;placental insufficiency;atrioventricular block;schizophrenia 10;schizophrenia 3;schizophrenia 9;schizophrenia 5;schizophrenia 19;pre-eclampsia;familial atrial fibrillation;schizophrenia 14;hypertensive heart disease;schizophrenia 15;adult respiratory distress syndrome;schizophrenia;hypertension;sarcoidosis;hypokalemia;coccidiosis;fucosidosis;atrial fibrillation
bronchiolitis,psoriasis 5;psoriasis 7;psoriasis 9;keratoconjunctivitis sicca;lupus nephritis;proctitis;parapsoriasis;psoriasis 13;keratoconjunctivitis;psoriasis 1;psoriasis;psoriasis 8;bronchiolitis;vernal conjunctivitis;bronchiectasis;COVID-19;thromboangiitis obliterans;adenocarcinoma;psoriasis 3;psoriasis 2;biotin deficiency;ascariasis;Crohn's colitis;bronchitis;setariasis;asthma;psoriasis 11;cheilitis;overnutrition;orchitis;adenocarcinoma in situ;psoriasis 4;respiratory syncytial virus infectious disease;psoriasis 15;vitamin B12 deficiency;psoriasis 6;psoriasis 12;pneumonia;loiasis;psoriasis 10;bronchiolitis obliterans
inability to think clearly,
cloudy cornea,ophthalmoplegia;intestinal perforation;dry eye syndrome;mucopolysaccharidosis type IIIB;myopia;corneal degeneration;keratitis;corneal edema;mucopolysaccharidosis IX;mucopolysaccharidosis Ih;mucopolysaccharidosis III;mucopolysaccharidosis IVA;glaucoma;mucopolysaccharidosis type IIIC;mucopolysaccharidosis type IIID;mucopolysaccharidosis I;mucopolysaccharidosis;laryngeal disease;rectal disease;myeloid neoplasm;bone disease;mucopolysaccharidosis IV;nail disease;periarthritis;dermatitis;mucopolysaccharidosis VI;borna disease;hepatitis;mucopolysaccharidosis Ih/s;corneal disease;retinal perforation;mucopolysaccharidosis type IVB;mucopolysaccharidosis II;Danon disease;mucopolysaccharidosis type IIIA
colic,urethral calculus;duodenal obstruction;inflammatory bowel disease 5;inflammatory bowel disease 3;diverticulitis;gastrointestinal adenoma;Meckel's diverticulum cancer;inflammatory bowel disease 20;intestinal obstruction;bladder disease;inflammatory bowel disease 8;vesiculitis;colitis;intestinal impaction;inflammatory bowel disease 29;inflammatory bowel disease 16;intestinal disease;Meckel's diverticulitis;inflammatory bowel disease 4;inflammatory bowel disease 9;inflammatory bowel disease 13;inflammatory bowel disease 28;inflammatory bowel disease 1;inflammatory bowel disease 30;elephantiasis;pharyngitis;inflammatory bowel disease 21;cholecystolithiasis;inflammatory bowel disease 25;Norrie disease;stomach disease;gastrointestinal system cancer;nose disease;inflammatory bowel disease 17;inflammatory bowel disease 14;inflammatory bowel disease 24;cholecystitis;intestinal botulism;inflammatory bowel disease 11;inflammatory bowel disease 6;polygenic disease;inflammatory bowel disease 18;Meckel's diverticulum;choledocholithiasis;monogenic disease;bile duct disease;inflammatory bowel disease 23;ureteral obstruction;myotonic disease;gastrointestinal carcinoma;inflammatory bowel disease;cholangitis;inflammatory bowel disease 22;irritable bowel syndrome;inflammatory bowel disease 12;inflammatory bowel disease 10;inflammatory bowel disease 19;kidney disease;acute cholangitis;Caroli disease;gallbladder disease;ileitis;intussusception;intestinal pseudo-obstruction;colonic disease;pericholangitis;inflammatory bowel disease 7;inflammatory bowel disease 26;laryngitis;cholelithiasis;inflammatory bowel disease 27;gastrointestinal system disease;inflammatory bowel disease 15;inflammatory bowel disease 2;intestinal volvulus
colicky pain,urethral calculus;duodenal obstruction;inflammatory bowel disease 5;inflammatory bowel disease 3;diverticulitis;gastrointestinal adenoma;Meckel's diverticulum cancer;inflammatory bowel disease 20;intestinal obstruction;bladder disease;inflammatory bowel disease 8;vesiculitis;colitis;intestinal impaction;inflammatory bowel disease 29;inflammatory bowel disease 16;intestinal disease;Meckel's diverticulitis;inflammatory bowel disease 4;inflammatory bowel disease 9;inflammatory bowel disease 13;inflammatory bowel disease 28;inflammatory bowel disease 1;inflammatory bowel disease 30;elephantiasis;pharyngitis;inflammatory bowel disease 21;cholecystolithiasis;inflammatory bowel disease 25;Norrie disease;stomach disease;gastrointestinal system cancer;nose disease;inflammatory bowel disease 17;inflammatory bowel disease 14;inflammatory bowel disease 24;cholecystitis;intestinal botulism;inflammatory bowel disease 11;inflammatory bowel disease 6;polygenic disease;inflammatory bowel disease 18;Meckel's diverticulum;choledocholithiasis;monogenic disease;bile duct disease;inflammatory bowel disease 23;ureteral obstruction;myotonic disease;gastrointestinal carcinoma;inflammatory bowel disease;cholangitis;inflammatory bowel disease 22;irritable bowel syndrome;inflammatory bowel disease 12;inflammatory bowel disease 10;inflammatory bowel disease 19;kidney disease;acute cholangitis;Caroli disease;gallbladder disease;ileitis;intussusception;intestinal pseudo-obstruction;colonic disease;pericholangitis;inflammatory bowel disease 7;inflammatory bowel disease 26;laryngitis;cholelithiasis;inflammatory bowel disease 27;gastrointestinal system disease;inflammatory bowel disease 15;inflammatory bowel disease 2;intestinal volvulus
congestion,
continuous profuse salivation,
cornea symptom,
corneal opacity,cataract 36;hyperglycemia;mucopolysaccharidosis type IIIB;cataract 29;keratitis;aortic atherosclerosis;pterygium;hyperlipoproteinemia type IV;mucopolysaccharidosis III;glaucoma;tuberous sclerosis 1;arcus senilis;cataract 48;atherosclerosis;familial hypercholesterolemia;hemosiderosis;PHARC syndrome;vascular disease;nail disease;mucopolysaccharidosis IV;cataract 33;cataract 37;cataract 41;cataract 30;gnathomiasis;dermatitis;sarcosinemia;anthracosis;mucopolysaccharidosis VI;hyperlipoproteinemia type V;arteriosclerosis;cataract 35;otosclerosis 10;corneal disease;cataract 40;otosclerosis 3;CHARGE syndrome;otosclerosis 8;IMAGe syndrome;melanomatosis;cataract 38;cataract 28;FG syndrome;cataract 43;cataract 23;cataract 47;mucopolysaccharidosis IVA;mucopolysaccharidosis type IIIC;hypercalcemia;cerebrovascular disease;aniridia 1;lateral sclerosis;hepatic vascular disease;mucopolysaccharidosis;amblyopia;cardiovascular system disease;otosclerosis 4;hyperlipoproteinemia type III;tyrosinemia;rumination disorder;Cytomegalovirus retinitis;heart disease;corneal ulcer;cataract 27;mucopolysaccharidosis type IIIA;hyperalphalipoproteinemia 1;hyperuricemia;myopia;cataract 7;corneal edema;deep corneal vascularisation;mucopolysaccharidosis IX;renal artery disease;mucopolysaccharidosis Ih;otosclerosis 11;glomerulosclerosis;aniridia;otosclerosis 5;mucopolysaccharidosis type IIID;cataract 44;rectal disease;iris disease;coronary artery disease;hyperprolinemia type 1;bone disease;tuberous sclerosis 2;nephrosclerosis;periarthritis;cerebral atherosclerosis;sarcomatosis;Coats disease;pulmonary artery disease;mucopolysaccharidosis Ih/s;otosclerosis;mucopolysaccharidosis type IVB;laryngeal disease;NARP syndrome;macular degeneration;arteriolosclerosis;schwannomatosis;WAGR syndrome;hyperprolinemia type 2;pigmentation disease;tuberous sclerosis;human cytomegalovirus infection;xanthomatosis;mucopolysaccharidosis I;TARP syndrome;otosclerosis 7;cataract 24;cataract;coloboma;otosclerosis 2;corneal neovascularization;astigmatism;cataract 25;CINCA Syndrome;KBG syndrome;osteosclerosis;Rubinstein-Taybi syndrome;cataract 42;borna disease;cataract 45;hepatitis;ARC syndrome;mucopolysaccharidosis II;hypolipoproteinemia;otosclerosis 1;cataract 18
corneal ulcers,cataract 36;rosacea conjunctivitis;conjunctivitis;cataract 29;scleral disease;keratitis;Ollier disease;glaucoma;vernal conjunctivitis;scleritis;cataract 48;nail disease;cataract 33;retinal vasculitis;cataract 37;cataract 41;cataract 30;dermatitis;Horner's syndrome;cataract 35;corneal disease;retinal perforation;cataract 40;vitamin B12 deficiency;cerebritis;diabetes mellitus;keratoconjunctivitis sicca;neuroaspergillosis;dry eye syndrome;corneal degeneration;cataract 38;cataract 28;cataract 43;cataract 23;colitis;cataract 47;pleural disease;granulomatous angiitis;Schindler disease;herpes simplex;Bjornstad syndrome;granulomatosis with polyangiitis;corneal ulcer;cataract 27;cataract 7;corneal edema;keratoconus;chronic conjunctivitis;biotin deficiency;Conn's syndrome;cataract 44;rectal disease;Norrie disease;blepharoconjunctivitis;nose disease;bone disease;type 2 diabetes mellitus;periarthritis;Sjogren-Larsson syndrome;cervicitis;cecal disease;ileitis;cystinosis;laryngeal disease;type 1 diabetes mellitus;intestinal perforation;acute conjunctivitis;liver disease;keratoconjunctivitis;COVID-19;cataract 24;cataract;cataract 25;Sjogren's syndrome;cataract 42;borna disease;aspergillosis;cataract 45;hepatitis;cataract 18
cough with bloody sputum,bladder tuberculosis;pulmonary blastoma;penis sarcoma;newborn respiratory distress syndrome;myeloid neoplasm;COVID-19;prostate angiosarcoma;bronchiectasis 3;cysticercosis;pulmonary tuberculosis;cholangiocarcinoma;pulmonary edema;paragonimiasis;oral tuberculosis;skin angiosarcoma;atrial fibrillation;pulmonary embolism;neuroaspergillosis;pleuropulmonary blastoma;hemangiopericytoma;retinal ischemia;cystic fibrosis;ureter tuberculosis;liver angiosarcoma;chorioangioma;kidney disease;breast angiosarcoma;asthma;myelodysplastic syndrome;pulmonary emphysema;pneumocystosis;bronchiectasis 1;classic pulmonary blastoma;lymphangiosarcoma;adult respiratory distress syndrome;spleen angiosarcoma;gliosarcoma;familial atrial fibrillation;silicosis;ocular tuberculosis;pneumoconiosis;carcinoma;apocrine carcinoma;kaolin pneumoconiosis;bronchiectasis;tuberculosis;hemangioma;dysplastic nevus syndrome;metagonimiasis;ovarian carcinoma;colon carcinoma;renal tuberculosis;glomangiosarcoma;neurosarcoidosis;teratoma;angiosarcoma;pneumonia;bronchiectasis 2;bronchitis;anthracosis;choriocarcinoma of ovary;anthracosilicosis;thrombosis;bronchial disease;lung disease;choriocarcinoma;pulmonary aspergilloma;brain ischemia;mediastinum angiosarcoma;teratocarcinoma;adenosarcoma;slate pneumoconiosis;thrombocytosis;pulmonary sarcoidosis;aspergillosis;aorta angiosarcoma;ischemia
cyclic fever,hidradenitis;pharyngitis;lymphangitis;cholangitis;nasopharyngitis;lymphadenitis;laryngitis;pancytopenia
alteration of appetite,amyotrophic lateral sclerosis type 9;amyotrophic lateral sclerosis type 8;amyotrophic lateral sclerosis type 11;amyotrophic lateral sclerosis type 10;renal hypertension;gastrointestinal lymphoma;amyotrophic lateral sclerosis type 4;amyotrophic lateral sclerosis type 2;amyotrophic lateral sclerosis type 19;amyotrophic lateral sclerosis type 7;amyotrophic lateral sclerosis type 23;COVID-19;hyperlysinemia;amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 15;sporatic amyotrophic lateral sclerosis;amyotrophic lateral sclerosis type 25;fetal nicotine spectrum disorder;amyotrophic lateral sclerosis type 3;anorexia nervosa;amyotrophic lateral sclerosis type 5;amyotrophic lateral sclerosis type 6;amyotrophic lateral sclerosis type 22;gastrointestinal carcinoma;amyotrophic lateral sclerosis type 21;hyperglycemia;hypercalcemia;amyotrophic lateral sclerosis type 26;hypertension;amyotrophic lateral sclerosis type 12;fetal alcohol spectrum disorder;obesity;amyotrophic lateral sclerosis type 18;amyotrophic lateral sclerosis type 28;amyotrophic lateral sclerosis type 20;amyotrophic lateral sclerosis type 13;hypoglycemia;amyotrophic lateral sclerosis type 24;hallucinogen abuse;gastrointestinal adenoma;amyotrophic lateral sclerosis type 1;amyotrophic lateral sclerosis type 16
decreased appetite,hepatic vascular disease;inflammatory bowel disease 18;inflammatory bowel disease 21;inflammatory bowel disease 30;inflammatory bowel disease 24;eating disorder;inflammatory bowel disease 9;non-alcoholic fatty liver;gastrointestinal lymphoma;inflammatory bowel disease 26;inflammatory bowel disease 25;inflammatory bowel disease 8;inflammatory bowel disease 15;Danon disease;gastric dilatation;inflammatory bowel disease 17;COVID-19;diabetes mellitus;inflammatory bowel disease 3;substance-related disorder;inflammatory bowel disease 7;anorexia nervosa;inflammatory bowel disease 1;inflammatory bowel disease 11;bulimia nervosa;inflammatory bowel disease;inflammatory bowel disease 16;cardiovascular system disease;gastrointestinal carcinoma;inflammatory bowel disease 5;inflammatory bowel disease 13;inflammatory bowel disease 23;inflammatory bowel disease 12;inflammatory bowel disease 4;inflammatory bowel disease 27;cerebrovascular disease;inflammatory bowel disease 20;inflammatory bowel disease 22;inflammatory bowel disease 19;obesity;inflammatory bowel disease 28;inflammatory bowel disease 29;inflammatory bowel disease 2;gastrointestinal adenoma;inflammatory bowel disease 10;inflammatory bowel disease 14;vascular disease;inflammatory bowel disease 6
increased appetite,inflammatory bowel disease 18;inflammatory bowel disease 21;inflammatory bowel disease 30;inflammatory bowel disease 24;inflammatory bowel disease 9;gastrointestinal lymphoma;inflammatory bowel disease 26;inflammatory bowel disease 25;inflammatory bowel disease 8;inflammatory bowel disease 15;leukostasis;inflammatory bowel disease 17;thalamic disease;diabetes mellitus;inflammatory bowel disease 3;substance-related disorder;inflammatory bowel disease 7;inflammatory bowel disease 1;inflammatory bowel disease 11;inflammatory bowel disease;inflammatory bowel disease 16;gastrointestinal stromal tumor;cholestasis;gastrointestinal carcinoma;overnutrition;inflammatory bowel disease 5;inflammatory bowel disease 13;inflammatory bowel disease 23;gastrointestinal tularemia;inflammatory bowel disease 12;inflammatory bowel disease 4;inflammatory bowel disease 27;inflammatory bowel disease 20;gastrointestinal allergy;inflammatory bowel disease 22;inflammatory bowel disease 19;hypothalamic disease;obesity;inflammatory bowel disease 28;inflammatory bowel disease 29;inflammatory bowel disease 2;hypothalamic neoplasm;gastrointestinal adenoma;gastrointestinal anthrax;hallucinogen abuse;inflammatory bowel disease 10;inflammatory bowel disease 14;inflammatory bowel disease 6
proprioception symptom,
decreased conscious proprioception,
reflex symptom,
decreased flexor withdrawal reflex,
dermal abscess,dermatomycosis;chromoblastomycosis;spinal disease;kidney disease;carpal tunnel syndrome 1;carpal tunnel syndrome 2;diabetes mellitus;pyoderma;pinta disease;dermoid cyst;hidradenitis suppurativa;spina bifida occulta;tarsal tunnel syndrome;otomycosis;mastocytosis;acne;skin disease;lobomycosis;carpal tunnel syndrome;vein disease;Brunner Syndrome;blastomycosis;spinal cord disease;actinomycosis
diffuse rash,urticaria;membranous glomerulonephritis;crescentic glomerulonephritis;Chandler syndrome;periarthritis;COVID-19;psoriasis 7;ascariasis;subacute glomerulonephritis;tic disorder;dermatomyositis;Coats disease;Stickler syndrome;skin disease;psoriasis 15;Schnitzler syndrome;rickettsialpox;vasculitis;encephalitis;poliomyelitis;ehrlichiosis;kidney disease;panniculitis;vesiculitis;pyelonephritis;loiasis;Danon disease;alopecia areata;adult dermatomyositis;psoriasis 11;autoimmune disease;exanthem;cystitis;overnutrition;diffuse glomerulonephritis;psoriasis 9;myositis;psoriasis 13;exudative glomerulonephritis;psoriasis 3;dermatomycosis;Rocky Mountain spotted fever;psoriasis 6;Lyme disease;syphilis;IgA glomerulonephritis;autistic disorder;eye disease;psoriasis 8;autoimmune glomerulonephritis;psoriasis 12;urethritis;glomerulonephritis;Dubin-Johnson syndrome;scleritis;heart disease;psoriasis 4;psoriasis 10;arthritis;setariasis;encephalomyelitis;Leigh disease;psoriasis 5;pyomyositis;dermatophytosis;purpura;parapsoriasis;psoriasis 1;psoriasis 2;Stevens-Johnson syndrome;androgen insensitivity syndrome;fasciitis;Scheie syndrome;vein disease;dermatitis;trichinosis;psoriasis;hypotrichosis
anisocoria,entropion;Behr syndrome;intracranial berry aneurysm 1;Armfield syndrome;ophthalmoplegia;Down syndrome;COVID-19;myiasis;intracranial berry aneurysm 11;Horner's syndrome;intracranial embolism;acute conjunctivitis;rosacea conjunctivitis;intracranial berry aneurysm 4;Coats disease;pain disorder;anhidrosis;Adie syndrome;Prieto syndrome;pulmonary embolism;optic neuritis;corneal edema;intracranial berry aneurysm 3;craniosynostosis 7;blepharoconjunctivitis;asthma;Danon disease;tick paralysis;Turner syndrome;Tietz syndrome;siderosis;Cowden syndrome;retinal detachment;IMAGe syndrome;essential hypertension;conjunctivitis;CINCA Syndrome;intracranial berry aneurysm 12;Fraser syndrome;Aicardi syndrome;pulmonary fibrosis;ARC syndrome;strabismus;intracranial berry aneurysm 8;craniosynostosis;noma;Lyme disease;Frey syndrome;intracranial berry aneurysm 7;syringomyelia;hypohidrosis;Ogden syndrome;vernal conjunctivitis;intracranial aneurysm;Werner syndrome;Alagille syndrome;eye disease;tolosa-hunt syndrome;intracranial berry aneurysm;glaucoma;keratoconjunctivitis;chronic conjunctivitis;Brunner Syndrome;intracranial berry aneurysm 5;Meige syndrome;intracranial berry aneurysm 6;heart disease;Binder syndrome;Carpenter syndrome;Eiken syndrome;Liddle syndrome;intracranial berry aneurysm 9;corneal disease;Troyer syndrome;ectropion;extracranial neuroblastoma;lacrimal duct obstruction;intracranial berry aneurysm 2;intracranial hypotension;intracranial hypertension;intracranial berry aneurysm 10;Muenke Syndrome;Achard syndrome;hemosiderosis;iris disease;syringoma;Scheie syndrome;Pendred Syndrome
dilated pupil,entropion;cataract 33;cataract 44;strabismus;cataract 23;glossopharyngeal nerve neoplasm;glossopharyngeal nerve disease;heart disease;coloboma;diabetic neuropathy;cataract 36;Lyme disease;cataract 30;astigmatism;myopia;cataract 45;renal hypertension;cataract 43;cataract 18;cataract 28;ophthalmoplegia;blepharophimosis;cataract 27;hypohidrosis;corneal disease;cataract 35;diabetes mellitus;diabetic angiopathy;cataract 29;glossopharyngeal nerve paralysis;Miller Fisher syndrome;cataract 7;substance-related disorder;blepharitis;eye disease;migraine without aura;cataract 40;diabetic encephalopathy;cataract 38;cataract 48;ectropion;myiasis;cataract 47;migraine with aura;hypertension;nasopharyngeal disease;trigeminal neuralgia;cataract;cataract 41;aphasia;Coats disease;type 1 diabetes mellitus;lens subluxation;iris disease;cataract 25;glaucoma;pain disorder;diabetic retinopathy;optic neuritis;cataract 42;corneal edema;cataract 24;type 2 diabetes mellitus;herpes zoster oticus;cataract 37
diminished gastro-intestinal motility,
diminished gag reflex,pneumonia
absent gag reflex,Charcot-Marie-Tooth disease type 2R;peripheral nervous system disease;amyotrophic lateral sclerosis type 8;hypothyroidism;Charcot-Marie-Tooth disease type 1D;Parkinson's disease 25;Kunjin encephalitis;hypokalemic periodic paralysis;optic atrophy 5;dystonia 12;acrodermatitis;Armfield syndrome;amyotrophic lateral sclerosis type 19;upper respiratory tract disease;Parkinson's disease;Charcot-Marie-Tooth disease intermediate type;Charcot-Marie-Tooth disease type 2;optic atrophy 8;amyotrophic lateral sclerosis;hyperthyroidism;mastitis;essential tremor 3;amyotrophic lateral sclerosis type 25;dysthymic disorder;Charcot-Marie-Tooth disease type 7;Charcot-Marie-Tooth disease type 2B;Charcot-Marie-Tooth disease type 4;blepharitis;thyrotoxicosis;dystonia 33;polyradiculopathy;keratitis;tic disorder;Charcot-Marie-Tooth disease type 6;Charcot-Marie-Tooth disease type 4B1;amyotrophic lateral sclerosis type 6;cholestasis;Charcot-Marie-Tooth disease type 4B2;Parkinsonism;essential tremor 5;Charcot-Marie-Tooth disease type X;dermatomyositis;Charcot-Marie-Tooth disease type 4B3;amyotrophic lateral sclerosis type 12;Charcot-Marie-Tooth disease;Charcot-Marie-Tooth disease type 1F;pain disorder;anhidrosis;amyotrophic lateral sclerosis type 13;amyotrophic lateral sclerosis type 20;Adie syndrome;Prieto syndrome;Charcot-Marie-Tooth disease axonal type 2C;Charcot-Marie-Tooth disease type 1;Parkinson's disease 23;Mahvash Disease;Parkinson's disease 4;Charcot-Marie-Tooth disease axonal type 2CC;Graves' disease;tauopathy;lacrimal apparatus disease;Parkinson's disease 8;Charcot-Marie-Tooth disease type 2D;Charcot-Marie-Tooth disease axonal type 2S;Charcot-Marie-Tooth disease, axonal type 2W;encephalitis;optic atrophy 3;Charcot-Marie-Tooth disease type 1C;cerebellar ataxia type 43;essential tremor 2;hepatitis;secondary Parkinson disease;amyotrophic lateral sclerosis type 4;Parkinson's disease 19A;Charcot-Marie-Tooth disease type 5;vestibular disease;respiratory system disease;cerebellar ataxia type 47;cerebellar ataxia type 48;Danon disease;essential tremor 6;neurilemmoma;optic nerve disease;essential tremor;dystonia 9;optic atrophy 6;beriberi;Tietz syndrome;Charcot-Marie-Tooth disease type 2B2;neuromuscular disease;Cowden syndrome;optic atrophy 10;amyotrophic lateral sclerosis type 22;Charcot-Marie-Tooth disease axonal type 2P;dystonia 27;Charcot-Marie-Tooth disease axonal type 2V;Charcot-Marie-Tooth disease type 2J;IMAGe syndrome;prion disease;Charcot-Marie-Tooth disease type 4H;optic atrophy 11;dystonia 31;Charcot-Marie-Tooth disease type 4J;Charcot-Marie-Tooth disease type 2E;Charcot-Marie-Tooth disease type 2A2B;CINCA Syndrome;autonomic nervous system disease;Charcot-Marie-Tooth disease type 2Y;cerebral palsy;hyperkalemic periodic paralysis;Charcot-Marie-Tooth disease type 4A;Charcot-Marie-Tooth disease type 2I;Charcot-Marie-Tooth disease axonal type 2Q;Charcot-Marie-Tooth disease type 4C;cerebellar ataxia type 41;cerebellar ataxia type 9;diarrhea;Aicardi syndrome;Charcot-Marie-Tooth disease type 1E;Charcot-Marie-Tooth disease type 4G;autonomic nervous system benign neoplasm;quadriplegia;Charcot-Marie-Tooth disease axonal type 2O;dystonia 25;dystonia 24;breast disease;amyotrophic lateral sclerosis type 9;ARC syndrome;Krabbe disease;autonomic nervous system neoplasm;lower respiratory tract disease;Parkinson's disease 6;Charcot-Marie-Tooth disease type 2A2A;Parkinson's disease 2;dystonia 21;meningoencephalitis;syphilis;Charcot-Marie-Tooth disease axonal type 2X;leukostasis;Parkinson's disease 3;dystonia 30;hypohidrosis;Ogden syndrome;Charcot-Marie-Tooth disease type 1B;amyotrophic lateral sclerosis type 23;blepharospasm;vitamin B12 deficiency;optic atrophy 1;amyotrophic lateral sclerosis type 15;Alagille syndrome;hypoparathyroidism;peripheral nervous system benign neoplasm;brain compression;amyotrophic lateral sclerosis type 3;Charcot-Marie-Tooth disease axonal type 2T;biotin deficiency;multiple system atrophy;optic atrophy;Charcot-Marie-Tooth disease type 1G;alexia;amyotrophic lateral sclerosis type 21;Charcot-Marie-Tooth disease axonal type 2F;spinocerebellar ataxia 44;Charcot-Marie-Tooth disease type 2EE;Charcot-Marie-Tooth disease type 4K;peripheral nervous system neoplasm;amyotrophic lateral sclerosis type 26;facial paralysis;Charcot-Marie-Tooth disease type 2B1;Parkinson's disease 21;amyotrophic lateral sclerosis type 18;dystonia 23;serine deficiency;hyperparathyroidism;Charcot-Marie-Tooth disease axonal type 2U;Gorham's disease;amyotrophic lateral sclerosis type 24;amyotrophic lateral sclerosis type 1;Meige syndrome;Parkinson's disease 15;Charcot-Marie-Tooth disease axonal type 2N;dyslexia;amyotrophic lateral sclerosis type 11;essential tremor 1;Charcot-Marie-Tooth disease type 2A1;Charcot-Marie-Tooth disease type 4F;amyotrophic lateral sclerosis type 10;spinocerebellar ataxia 45;spinocerebellar ataxia 46;Parkinson's disease 1;Binder syndrome;dystonia;amyotrophic lateral sclerosis type 2;Bell's palsy;blepharophimosis;dystonia 32;Parkinson's disease 22;optic atrophy 4;amyotrophic lateral sclerosis type 7;Liddle syndrome;Eiken syndrome;optic atrophy 7;Charcot-Marie-Tooth disease type 4D;testicular disease;Charcot-Marie-Tooth disease type 3;dystonia 5;neurodermatitis;sporatic amyotrophic lateral sclerosis;hypertrichosis;paraplegia;Charcot-Marie-Tooth disease axonal type 2H;dystonia 16;Charcot-Marie-Tooth disease axonal type 2K;Charcot-Marie-Tooth disease type 4E;optic atrophy 12;cerebellar ataxia type 42;amyotrophic lateral sclerosis type 5;nervous system disease;Charcot-Marie-Tooth disease axonal type 2Z;Charcot-Marie-Tooth disease type 1A;Charcot-Marie-Tooth disease type 2DD;Muenke Syndrome;essential tremor 4;Parkinson's disease 14;Parkinson's disease 20;Achard syndrome;central nervous system disease;thiamine deficiency disease;optic atrophy 2;amyotrophic lateral sclerosis type 28;Scheie syndrome;Parkinson's disease 7;Parkinson's disease 17;cerebellar ataxia;radiculopathy;optic atrophy 9;dermatitis;Charcot-Marie-Tooth disease axonal type 2L;Pendred Syndrome;hypotrichosis;amyotrophic lateral sclerosis type 16
double vision,retinitis;strabismus;Graves ophthalmopathy;glossopharyngeal nerve neoplasm;cranial nerve disease;bone disease;appendiceal neoplasm;Jacobsen Syndrome;spinal disease;senile angioma;retinal disease;ophthalmoplegia;orbital periostitis;laryngeal carcinoma;blepharophimosis;buphthalmos;spermatocytoma;thrombosis;ocular motility disease;panophthalmitis;periarthritis;trigeminal neuralgia;COVID-19;skin meningioma;benign ileal neoplasm;esophageal carcinoma;orbital tenonitis;meningitis;hydrophthalmos;varicose veins;blepharitis;pyomyositis;nasopharynx carcinoma;anisometropia;ophthalmomyiasis;retinal detachment;melioidosis;hypotropia;cystitis;enophthalmos;facial nerve disease;third cranial nerve disease;lagophthalmos;histiocytoma;prion disease;amyloidosis;rectal disease;myasthenia gravis;Crohn's disease;esotropia;uremia;myelofibrosis;glaucoma;Caroli disease;nasopharyngeal disease;brain disease;arthritis;meningioma;thrombocytosis;nail disease;lung meningioma;Carrion's disease;urethritis;nanophthalmos;exotropia;myositis;erythema multiforme;vein disease;xerophthalmia;orbital cyst;endophthalmitis;tendinitis;intestinal disease
dry hacking cough,
dry mouth,peripheral nervous system disease;Parkinson's disease 25;submandibular adenitis;dental caries;retinal vasculitis;otosclerosis 5;tuberous sclerosis;Parkinson's disease;tooth disease;osteoporosis;Parkinsonism;Horner's syndrome;otosclerosis 1;nasopharyngeal disease;tuberous sclerosis 2;Conn's syndrome;Parkinson's disease 23;Parkinson's disease 4;Parkinson's disease 8;vasculitis;diabetic neuropathy;secondary Parkinson disease;Parkinson's disease 19A;panniculitis;vesiculitis;Danon disease;uveitis;Sjogren-Larsson syndrome;tuberous sclerosis 1;keratoconjunctivitis sicca;osteonecrosis;nasopharynx carcinoma;osteopoikilosis;otosclerosis 4;atherosclerosis;prion disease;dry eye syndrome;osteosclerosis;corneal ulcer;dysgammaglobulinemia;aortic atherosclerosis;otosclerosis 10;glossopharyngeal nerve neoplasm;Parkinson's disease 6;Parkinson's disease 2;histiocytosis;glomerulosclerosis;nephrosclerosis;Parkinson's disease 3;vernal conjunctivitis;vitamin B12 deficiency;biotin deficiency;peripheral nervous system benign neoplasm;liver disease;cerebral atherosclerosis;peripheral nervous system neoplasm;submandibular gland disease;osteopetrosis;submandibular gland cancer;otosclerosis 2;Parkinson's disease 21;hypokalemia;keratoconjunctivitis;otosclerosis;otosclerosis 7;enamel caries;arteriolosclerosis;panuveitis;Parkinson's disease 15;Sjogren's syndrome;scleritis;Parkinson's disease 1;macroglobulinemia;Bjornstad syndrome;laryngeal carcinoma;arteriosclerosis;osteochondrosis;Parkinson's disease 22;esophageal carcinoma;cryoglobulinemia;mouth disease;otosclerosis 3;diabetic encephalopathy;mandibular cancer;lateral sclerosis;Parkinson's disease 14;Parkinson's disease 20;central nervous system disease;hemosiderosis;otosclerosis 8;fasciitis;Parkinson's disease 7;Parkinson's disease 17;Ollier disease;otosclerosis 11
